timestamp,tx,ty,tz,qx,qy,qz,qw
1691576089.308905,2.756354808807373,-2.1056039333343506,8.62783432006836,-0.024178681564451122,-0.05568804746701013,-0.7059578107941233,-0.7056471988309355
1691576089.316905,2.772604465484619,-2.1215085983276367,8.625844955444336,-0.023866611810097287,-0.0557320158496301,-0.7059788284581805,-0.7056331775437311
1691576089.324905,2.7889015674591064,-2.1373753547668457,8.623800277709961,-0.023575565430616292,-0.05578873628810266,-0.7059577671861291,-0.7056597179060888
1691576089.332905,2.805245876312256,-2.1532034873962402,8.621700286865234,-0.023240756134401814,-0.055798129766964515,-0.7059642510095595,-0.7056636022073921
1691576089.340905,2.8216376304626465,-2.168994426727295,8.619515419006348,-0.022912729846619562,-0.05585643729770131,-0.7059543094467412,-0.7056795286226991
1691576089.348905,2.8380768299102783,-2.184748649597168,8.617273330688477,-0.022635361436569364,-0.05592784986414695,-0.7059387234474961,-0.7056984863698251
1691576089.356905,2.854220151901245,-2.200934648513794,8.615126609802246,-0.022312172816742748,-0.05604406057929263,-0.7059565921163522,-0.7056817135190302
1691576089.364905,2.870415210723877,-2.2170748710632324,8.612918853759766,-0.0219853016160275,-0.05618008031323843,-0.7059609711800863,-0.7056767443994169
1691576089.372905,2.8866629600524902,-2.233168601989746,8.610651969909668,-0.021605499241938622,-0.05631791763002626,-0.7059483860961359,-0.7056900881266406
1691576089.380905,2.9029626846313477,-2.249218225479126,8.608325004577637,-0.021269825935329667,-0.05650016587134343,-0.7059106041938112,-0.7057234024630231
1691576089.388905,2.919313430786133,-2.265223264694214,8.60590934753418,-0.02095300544089525,-0.05658309769832271,-0.7058740101977365,-0.7057628624447966
1691576089.396905,2.935715436935425,-2.281182289123535,8.603433609008789,-0.02063601504197777,-0.05667083558312125,-0.7058662222709645,-0.705773010595085
1691576089.404905,2.9521679878234863,-2.29709529876709,8.600897789001465,-0.020327750357791056,-0.05673136636011699,-0.7058424069632084,-0.7058008720002982
1691576089.412905,2.9686717987060547,-2.312962770462036,8.598301887512207,-0.019946089571100653,-0.056832139474906535,-0.7058224208100841,-0.7058236398454244
1691576089.420905,2.985224962234497,-2.328784942626953,8.595647811889648,-0.019566961546587956,-0.056914753883432964,-0.705815500981313,-0.7058345214779554
1691576089.428905,3.001828670501709,-2.3445608615875244,8.592934608459473,-0.019154766685240424,-0.05706133403710878,-0.7058001370594824,-0.705849295343907
1691576089.436905,3.0184829235076904,-2.360290050506592,8.590130805969238,-0.01875629852561729,-0.057191932632664866,-0.7057964648455248,-0.7058532204389555
1691576089.444905,3.0351860523223877,-2.37597393989563,8.587268829345703,-0.018315032875509375,-0.057314905282818504,-0.705771288866483,-0.7058799137045437
1691576089.452905,3.051938533782959,-2.391613006591797,8.584348678588867,-0.0178847096009461,-0.057443799565187935,-0.7057377927512367,-0.705913999875669
1691576089.460905,3.068739652633667,-2.407207489013672,8.581371307373047,-0.017450727453096473,-0.05755489997495167,-0.7057002127339628,-0.7059534343542775
1691576089.468905,3.0855884552001953,-2.4227561950683594,8.57833480834961,-0.016976417356667002,-0.057607288507650706,-0.7056885275510825,-0.7059722845014048
1691576089.476905,3.1024856567382812,-2.4382588863372803,8.575240135192871,-0.016481124715124182,-0.05771939780760067,-0.7056693048632692,-0.7059942045875228
1691576089.484905,3.118892192840576,-2.4531497955322266,8.572118759155273,-0.0159935159709005,-0.057778225588498766,-0.7056759904894323,-0.7059938409886363
1691576089.492905,3.135354518890381,-2.468006134033203,8.56893539428711,-0.015502503868659567,-0.05786891111851504,-0.7056892674464168,-0.7059841043669268
1691576089.500905,3.1518714427948,-2.482825756072998,8.565692901611328,-0.015003082153051699,-0.05794997794744771,-0.7056932834669113,-0.7059842187375862
1691576089.508905,3.168442964553833,-2.497607946395874,8.562390327453613,-0.014482245887133245,-0.0580573378244061,-0.7057337587854043,-0.7059459350552157
